# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 587  of event 'cpu-clock'
# Event count (approx.): 5929292870
#
# Overhead  Command          Shared Object                             Symbol
# ........  ...............  ........................................  ............................................
#
     0.17%  mppjpegenc0:src  libglib-2.0.so.0.7600.1                   [.] g_pointer_bit_lock
     0.17%  mppjpegenc0:src  libglib-2.0.so.0.7600.1                   [.] pthread_rwlock_unlock@plt
     0.17%  mppjpegenc0:src  libgobject-2.0.so.0.7600.1                [.] g_datalist_id_set_data_full@plt
     0.17%  mppjpegenc0:src  libgstallocators-1.0.so.0.2411.0          [.] g_malloc0@plt
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0              [.] gst_debug_log_default
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0              [.] gst_debug_log_valist
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0              [.] gst_mini_object_get_qdata
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0              [.] gst_mini_object_init
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0              [.] gst_mini_object_remove_parent
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0              [.] 0x00000000000af230
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0              [.] 0x00000000000b3f08
     0.17%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0              [.] 0x00000000000d5180
     0.17%  mppjpegenc0:src  libgstrockchipmpp.so                      [.] gst_mpp_enc_loop
     0.17%  mppjpegenc0:src  libgstvideo-1.0.so.0.2411.0               [.] gst_video_codec_frame_unref
     0.17%  mppjpegenc0:src  libgstvideo-1.0.so.0.2411.0               [.] 0x0000000000039600
     0.17%  mppjpegenc0:src  librockchip_mpp.so.0                      [.] _mpp_port_poll
     0.17%  mppjpegenc0:src  librockchip_mpp.so.0                      [.] mpp_buffer_ref_dec
     0.17%  mppjpegenc0:src  librockchip_mpp.so.0                      [.] mpp_cond_timedwait
     0.17%  python3          [kernel.kallsyms]                         [k] __alloc_pages
     0.17%  python3          [kernel.kallsyms]                         [k] __alloc_skb
     0.17%  python3          [kernel.kallsyms]                         [k] __arch_copy_from_user
     0.17%  python3          [kernel.kallsyms]                         [k] __netif_receive_skb_core
     0.17%  python3          [kernel.kallsyms]                         [k] __tcp_push_pending_frames
     0.17%  python3          [kernel.kallsyms]                         [k] alloc_zeroed_user_highpage_movable
     0.17%  python3          [kernel.kallsyms]                         [k] arch_counter_read
     0.17%  python3          [kernel.kallsyms]                         [k] do_wait
     0.17%  python3          [kernel.kallsyms]                         [k] free_unref_page
     0.17%  python3          [kernel.kallsyms]                         [k] get_page_from_freelist
     0.17%  python3          [kernel.kallsyms]                         [k] kfree
     0.17%  python3          [kernel.kallsyms]                         [k] netif_skb_features
     0.17%  python3          [kernel.kallsyms]                         [k] tcp_send_delayed_ack
     0.17%  python3          [kernel.kallsyms]                         [k] tcp_v4_send_check
     0.17%  python3          _socket.cpython-311-aarch64-linux-gnu.so  [.] 0x0000000000006e50
     0.17%  python3          libc.so.6                                 [.] memcmp
     0.17%  python3          libc.so.6                                 [.] 0x000000000009dd34
     0.17%  python3          libpython3.11.so.1.0                      [.] PyEval_RestoreThread@plt
     0.17%  python3          libpython3.11.so.1.0                      [.] PyObject_GetAttr@plt
     0.17%  python3          libpython3.11.so.1.0                      [.] _PyEval_SliceIndex
     0.17%  python3          libpython3.11.so.1.0                      [.] _PyObject_Call
     0.17%  python3          libpython3.11.so.1.0                      [.] 0x0000000000193714
     0.17%  python3          libpython3.11.so.1.0                      [.] 0x000000000019a630
     0.17%  python3          libpython3.11.so.1.0                      [.] 0x00000000001a9ae0
     0.17%  python3          libpython3.11.so.1.0                      [.] 0x00000000002c9b60
     0.17%  python3          libpython3.11.so.1.0                      [.] 0x00000000002cbed8
     0.17%  python3          libpython3.11.so.1.0                      [.] 0x00000000002ce4bc
     0.17%  queue0:src       [kernel.kallsyms]                         [k] __arch_copy_to_user
     0.17%  queue0:src       [kernel.kallsyms]                         [k] __finalise_sg.isra.0
     0.17%  queue0:src       [kernel.kallsyms]                         [k] __get_user_pages
     0.17%  queue0:src       [kernel.kallsyms]                         [k] __schedule
     0.17%  queue0:src       [kernel.kallsyms]                         [k] __slab_free
     0.17%  queue0:src       [kernel.kallsyms]                         [k] __tlb_remove_page_size
     0.17%  queue0:src       [kernel.kallsyms]                         [k] __video_do_ioctl
     0.17%  queue0:src       [kernel.kallsyms]                         [k] __vm_map_pages
     0.17%  queue0:src       [kernel.kallsyms]                         [k] check_new_pages
     0.17%  queue0:src       [kernel.kallsyms]                         [k] downgrade_write
     0.17%  queue0:src       [kernel.kallsyms]                         [k] finish_wait
     0.17%  queue0:src       [kernel.kallsyms]                         [k] fput
     0.17%  queue0:src       [kernel.kallsyms]                         [k] free_pcppages_bulk
     0.17%  queue0:src       [kernel.kallsyms]                         [k] futex_wake
     0.17%  queue0:src       [kernel.kallsyms]                         [k] iommu_dma_alloc_iova
     0.17%  queue0:src       [kernel.kallsyms]                         [k] iommu_dma_map_sg
     0.17%  queue0:src       [kernel.kallsyms]                         [k] is_vmalloc_addr
     0.17%  queue0:src       [kernel.kallsyms]                         [k] kmem_cache_free_bulk.part.0
     0.17%  queue0:src       [kernel.kallsyms]                         [k] ksys_mmap_pgoff
     0.17%  queue0:src       [kernel.kallsyms]                         [k] mark_page_accessed
     0.17%  queue0:src       [kernel.kallsyms]                         [k] mas_is_span_wr
     0.17%  queue0:src       [kernel.kallsyms]                         [k] mas_wr_node_store
     0.17%  queue0:src       [kernel.kallsyms]                         [k] mtree_range_walk
     0.17%  queue0:src       [kernel.kallsyms]                         [k] mutex_lock
     0.17%  queue0:src       [kernel.kallsyms]                         [k] pm_relax
     0.17%  queue0:src       [kernel.kallsyms]                         [k] put_cpu_partial
     0.17%  queue0:src       [kernel.kallsyms]                         [k] rga2_init_reg
     0.17%  queue0:src       [kernel.kallsyms]                         [k] rga_alloc_sgt.constprop.0
     0.17%  queue0:src       [kernel.kallsyms]                         [k] rga_mm_check_range_sgt
     0.17%  queue0:src       [kernel.kallsyms]                         [k] rga_request_put
     0.17%  queue0:src       [kernel.kallsyms]                         [k] try_grab_page
     0.17%  queue0:src       [kernel.kallsyms]                         [k] validate_page_before_insert
     0.17%  queue0:src       [kernel.kallsyms]                         [k] vb2_common_vm_close
     0.17%  queue0:src       [kernel.kallsyms]                         [k] vm_unmapped_area
     0.17%  queue0:src       [kernel.kallsyms]                         [k] vma_wants_writenotify
     0.17%  queue0:src       [kernel.kallsyms]                         [k] wake_q_add_safe
     0.17%  queue0:src       libc.so.6                                 [.] __mmap
     0.17%  queue0:src       libc.so.6                                 [.] 0x0000000000091c74
     0.17%  queue0:src       libc.so.6                                 [.] 0x000000000009ddc0
     0.17%  queue0:src       libglib-2.0.so.0.7600.1                   [.] free@plt
     0.17%  queue0:src       libgobject-2.0.so.0.7600.1                [.] g_type_check_instance_cast
     0.17%  queue0:src       libgobject-2.0.so.0.7600.1                [.] 0x0000000000046a80
     0.17%  queue0:src       libgstallocators-1.0.so.0.2411.0          [.] munmap@plt
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0              [.] gst_buffer_copy_into
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0              [.] gst_buffer_get_sizes_range
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0              [.] gst_buffer_pool_release_buffer
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0              [.] gst_debug_log_valist
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0              [.] gst_flow_get_name
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0              [.] gst_memory_map
     0.17%  queue0:src       libgstreamer-1.0.so.0.2411.0              [.] 0x00000000000d6b60
     0.17%  queue0:src       libgstrockchipmpp.so                      [.] gst_mpp_jpeg_enc_handle_frame
     0.17%  queue0:src       libgstrockchipmpp.so                      [.] mpp_buffer_get_with_tag@plt
     0.17%  queue0:src       libgstvideo4linux2.so                     [.] 0x0000000000022874
     0.17%  queue0:src       librockchip_mpp.so.0                      [.] mpp_buffer_create
     0.17%  v4l2src0:src     [kernel.kallsyms]                         [k] futex_wake_mark
     0.17%  v4l2src0:src     libc.so.6                                 [.] getenv
     0.17%  v4l2src0:src     libglib-2.0.so.0.7600.1                   [.] g_hash_table_lookup
     0.17%  v4l2src0:src     libglib-2.0.so.0.7600.1                   [.] g_hook_unref
     0.17%  v4l2src0:src     libglib-2.0.so.0.7600.1                   [.] 0x00000000000bb85c
     0.17%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0              [.] gst_ghost_pad_get_type
     0.17%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0              [.] gst_mini_object_unref
     0.17%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0              [.] 0x0000000000083c7c
     0.17%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0              [.] 0x00000000000849d8
     0.17%  v4l2src0:src     libgstvideo4linux2.so                     [.] 0x000000000001f4cc


#
# (Cannot load tips.txt file, please install perf!)
#
