# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 701  of event 'cpu-clock'
# Event count (approx.): 7080808010
#
# Overhead  Command          Shared Object                     Symbol
# ........  ...............  ................................  ............................................................
#
     0.14%  mppjpegenc0:src  libglib-2.0.so.0.7600.1           [.] g_pointer_bit_lock
     0.14%  mppjpegenc0:src  libglib-2.0.so.0.7600.1           [.] g_realloc
     0.14%  mppjpegenc0:src  libgobject-2.0.so.0.7600.1        [.] g_type_check_value
     0.14%  mppjpegenc0:src  libgstcoreelements.so             [.] gst_memory_map@plt
     0.14%  mppjpegenc0:src  libgstcoretracers.so              [.] 0x0000000000005330
     0.14%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] 0x00000000000b4124
     0.14%  mppjpegenc0:src  libgstreamer-1.0.so.0.2411.0      [.] 0x00000000000d62c4
     0.14%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_buffer_sync_partial_begin_f
     0.14%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_enc_notify_v2
     0.14%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_meta_get_frame@plt
     0.14%  python3          [kernel.kallsyms]                 [k] __fget_light
     0.14%  python3          [kernel.kallsyms]                 [k] __local_bh_enable_ip
     0.14%  python3          [kernel.kallsyms]                 [k] __mod_timer
     0.14%  python3          [kernel.kallsyms]                 [k] __wake_up_common_lock
     0.14%  python3          [kernel.kallsyms]                 [k] arch_local_irq_restore
     0.14%  python3          [kernel.kallsyms]                 [k] futex_wake_mark
     0.14%  python3          [kernel.kallsyms]                 [k] get_page_from_freelist
     0.14%  python3          [kernel.kallsyms]                 [k] handle_softirqs
     0.14%  python3          [kernel.kallsyms]                 [k] ip_finish_output2
     0.14%  python3          [kernel.kallsyms]                 [k] ipt_do_table
     0.14%  python3          [kernel.kallsyms]                 [k] kfree
     0.14%  python3          [kernel.kallsyms]                 [k] kmalloc_size_roundup
     0.14%  python3          [kernel.kallsyms]                 [k] skb_page_frag_refill
     0.14%  python3          libc.so.6                         [.] __errno_location
     0.14%  python3          libc.so.6                         [.] _pthread_cleanup_push
     0.14%  python3          libc.so.6                         [.] pthread_mutex_lock
     0.14%  python3          libc.so.6                         [.] 0x000000000008b8ac
     0.14%  python3          libc.so.6                         [.] 0x000000000009d7a4
     0.14%  python3          libc.so.6                         [.] 0x000000000009d7b0
     0.14%  python3          libc.so.6                         [.] 0x000000000009dcc0
     0.14%  python3          libc.so.6                         [.] 0x000000000009ddc0
     0.14%  python3          libc.so.6                         [.] 0x000000000009ddc8
     0.14%  python3          libc.so.6                         [.] 0x000000000009ddd4
     0.14%  python3          libc.so.6                         [.] 0x000000000009dddc
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_FillInfo
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_FillInfo@plt
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_IsContiguous
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_Release
     0.14%  python3          libpython3.11.so.1.0              [.] PyBuffer_ToContiguous@plt
     0.14%  python3          libpython3.11.so.1.0              [.] PyByteArray_FromStringAndSize
     0.14%  python3          libpython3.11.so.1.0              [.] PyDict_GetItemWithError
     0.14%  python3          libpython3.11.so.1.0              [.] PyLong_FromSsize_t
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_Free@plt
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_GC_UnTrack
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_GetBuffer@plt
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_IsTrue
     0.14%  python3          libpython3.11.so.1.0              [.] PyObject_Size
     0.14%  python3          libpython3.11.so.1.0              [.] PyThreadState_Get@plt
     0.14%  python3          libpython3.11.so.1.0              [.] _PyEval_SliceIndex@plt
     0.14%  python3          libpython3.11.so.1.0              [.] _PyNumber_Index
     0.14%  python3          libpython3.11.so.1.0              [.] _PyTrash_cond
     0.14%  python3          libpython3.11.so.1.0              [.] _PyType_Lookup
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013959c
     0.14%  python3          libpython3.11.so.1.0              [.] 0x00000000001397c8
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013b00c
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013b9e0
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013d56c
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000013d590
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000015b858
     0.14%  python3          libpython3.11.so.1.0              [.] 0x0000000000177b28
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000017f390
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000017f3d8
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000017f3e0
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000017f3f4
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000018e840
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019a488
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019c560
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019c568
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019c570
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019d0b0
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019d0d0
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019d0d4
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019d0d8
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000019d0f4
     0.14%  python3          libpython3.11.so.1.0              [.] 0x00000000001a6030
     0.14%  python3          libpython3.11.so.1.0              [.] 0x00000000001a684c
     0.14%  python3          libpython3.11.so.1.0              [.] 0x00000000001a68b4
     0.14%  python3          libpython3.11.so.1.0              [.] 0x00000000001a7b18
     0.14%  python3          libpython3.11.so.1.0              [.] 0x00000000001a7ba4
     0.14%  python3          libpython3.11.so.1.0              [.] 0x00000000001ae900
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000023d380
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000023ea10
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000023ea58
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000023ec34
     0.14%  python3          libpython3.11.so.1.0              [.] 0x000000000023f8c0
     0.14%  python3          libpython3.11.so.1.0              [.] 0x0000000000240878
     0.14%  python3          libpython3.11.so.1.0              [.] 0x0000000000240b20
     0.14%  queue0:src       [kernel.kallsyms]                 [k] __cond_resched
     0.14%  queue0:src       [kernel.kallsyms]                 [k] __put_cpu_fpsimd_context
     0.14%  queue0:src       [kernel.kallsyms]                 [k] __tlb_remove_page_size
     0.14%  queue0:src       [kernel.kallsyms]                 [k] arch_local_irq_enable
     0.14%  queue0:src       [kernel.kallsyms]                 [k] check_new_pages
     0.14%  queue0:src       [kernel.kallsyms]                 [k] current_time
     0.14%  queue0:src       [kernel.kallsyms]                 [k] dma_direct_map_sg
     0.14%  queue0:src       [kernel.kallsyms]                 [k] do_mmap
     0.14%  queue0:src       [kernel.kallsyms]                 [k] do_vfs_ioctl
     0.14%  queue0:src       [kernel.kallsyms]                 [k] flush_dcache_page
     0.14%  queue0:src       [kernel.kallsyms]                 [k] free_iova_fast
     0.14%  queue0:src       [kernel.kallsyms]                 [k] handle_softirqs
     0.14%  queue0:src       [kernel.kallsyms]                 [k] iommu_pgsize.isra.0
     0.14%  queue0:src       [kernel.kallsyms]                 [k] kernfs_new_node
     0.14%  queue0:src       [kernel.kallsyms]                 [k] kmem_cache_alloc
     0.14%  queue0:src       [kernel.kallsyms]                 [k] kmem_cache_alloc_bulk
     0.14%  queue0:src       [kernel.kallsyms]                 [k] ktime_get
     0.14%  queue0:src       [kernel.kallsyms]                 [k] ma_free_rcu
     0.14%  queue0:src       [kernel.kallsyms]                 [k] mas_is_span_wr
     0.14%  queue0:src       [kernel.kallsyms]                 [k] mas_store_b_node
     0.14%  queue0:src       [kernel.kallsyms]                 [k] mt_destroy_walk.isra.0
     0.14%  queue0:src       [kernel.kallsyms]                 [k] radix_tree_node_alloc.constprop.0
     0.14%  queue0:src       [kernel.kallsyms]                 [k] rga2_set_reg
     0.14%  queue0:src       [kernel.kallsyms]                 [k] rga_dma_map_sgt
     0.14%  queue0:src       [kernel.kallsyms]                 [k] rga_mm_check_range_sgt
     0.14%  queue0:src       [kernel.kallsyms]                 [k] rga_request_kref_release
     0.14%  queue0:src       [kernel.kallsyms]                 [k] rga_request_submit
     0.14%  queue0:src       [kernel.kallsyms]                 [k] rkisp_buf_queue
     0.14%  queue0:src       [kernel.kallsyms]                 [k] rmqueue_bulk
     0.14%  queue0:src       [kernel.kallsyms]                 [k] rpm_get_suppliers
     0.14%  queue0:src       [kernel.kallsyms]                 [k] sg_alloc_append_table_from_pages
     0.14%  queue0:src       [kernel.kallsyms]                 [k] unlink_file_vma
     0.14%  queue0:src       [kernel.kallsyms]                 [k] unmap_region
     0.14%  queue0:src       [kernel.kallsyms]                 [k] validate_page_before_insert
     0.14%  queue0:src       libc.so.6                         [.] __libc_calloc
     0.14%  queue0:src       libc.so.6                         [.] 0x00000000000921ec
     0.14%  queue0:src       libglib-2.0.so.0.7600.1           [.] g_hash_table_lookup
     0.14%  queue0:src       libglib-2.0.so.0.7600.1           [.] syscall@plt
     0.14%  queue0:src       libgobject-2.0.so.0.7600.1        [.] g_datalist_get_flags@plt
     0.14%  queue0:src       libgobject-2.0.so.0.7600.1        [.] g_object_ref
     0.14%  queue0:src       libgobject-2.0.so.0.7600.1        [.] g_type_check_instance
     0.14%  queue0:src       libgstallocators-1.0.so.0.2411.0  [.] gst_fd_allocator_alloc
     0.14%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] g_realloc@plt
     0.14%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_buffer_map_range
     0.14%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_mini_object_remove_parent
     0.14%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] gst_util_get_timestamp
     0.14%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] 0x0000000000082930
     0.14%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] 0x0000000000083b44
     0.14%  queue0:src       libgstreamer-1.0.so.0.2411.0      [.] 0x00000000000af204
     0.14%  queue0:src       libgstrockchipmpp.so              [.] gst_mpp_allocator_get_type
     0.14%  queue0:src       libgstrockchipmpp.so              [.] gst_mpp_jpeg_enc_get_type
     0.14%  queue0:src       libgstrockchipmpp.so              [.] gst_mpp_jpeg_enc_handle_frame
     0.14%  queue0:src       librga.so.2.1.0                   [.] _Z26NormalRgaSetDstVirtualInfoP7rga_reqmmmjjP4RECTjh@plt
     0.14%  queue0:src       librga.so.2.1.0                   [.] _Z7RgaBlitP8rga_infoS0_S0_
     0.14%  queue0:src       librockchip_mpp.so.0              [.] 0x0000000000096860
     0.14%  v4l2src0:src     [kernel.kallsyms]                 [k] __fdget
     0.14%  v4l2src0:src     [kernel.kallsyms]                 [k] do_sys_poll
     0.14%  v4l2src0:src     libc.so.6                         [.] 0x0000000000051b00
     0.14%  v4l2src0:src     libglib-2.0.so.0.7600.1           [.] g_direct_equal
     0.14%  v4l2src0:src     libglib-2.0.so.0.7600.1           [.] g_hash_table_lookup
     0.14%  v4l2src0:src     libglib-2.0.so.0.7600.1           [.] 0x00000000000bb85c
     0.14%  v4l2src0:src     libgobject-2.0.so.0.7600.1        [.] g_datalist_id_get_data@plt
     0.14%  v4l2src0:src     libgobject-2.0.so.0.7600.1        [.] g_object_ref
     0.14%  v4l2src0:src     libgstbase-1.0.so.0.2411.0        [.] 0x0000000000043f80
     0.14%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0      [.] gst_debug_log
     0.14%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0      [.] gst_pad_push_event
     0.14%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0      [.] gst_structure_new_id
     0.14%  v4l2src0:src     libgstvideo4linux2.so             [.] 0x0000000000023a00


#
# (Cannot load tips.txt file, please install perf!)
#
