# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 153  of event 'cpu-clock'
# Event count (approx.): 1545454530
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ......................................
#
     0.65%  python3          libpython3.11.so.1.0          [.] 0x00000000002406bc
     0.65%  python3          libpython3.11.so.1.0          [.] 0x0000000000257e04
     0.65%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4ac
     0.65%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4b4
     0.65%  queue0:src       [kernel.kallsyms]             [k] __arm64_sys_dup
     0.65%  queue0:src       [kernel.kallsyms]             [k] _find_next_zero_bit
     0.65%  queue0:src       [kernel.kallsyms]             [k] clk_core_prepare
     0.65%  queue0:src       [kernel.kallsyms]             [k] dma_buf_cache_map_attachment
     0.65%  queue0:src       [kernel.kallsyms]             [k] dma_pool_alloc
     0.65%  queue0:src       [kernel.kallsyms]             [k] rk_iommu_resume
     0.65%  queue0:src       [kernel.kallsyms]             [k] rpm_drop_usage_count
     0.65%  queue0:src       libglib-2.0.so.0.7600.1       [.] pthread_mutex_unlock@plt
     0.65%  queue0:src       libgstcoreelements.so         [.] g_signal_emit@plt
     0.65%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_segment_clip
     0.65%  queue0:src       libgstvideo-1.0.so.0.2411.0   [.] g_rec_mutex_unlock@plt
     0.65%  queue0:src       libgstvideo-1.0.so.0.2411.0   [.] 0x0000000000039c84
     0.65%  queue0:src       librockchip_mpp.so.0          [.] mpp_buffer_create
     0.65%  v4l2src0:src     [kernel.kallsyms]             [k] arch_local_irq_enable
     0.65%  v4l2src0:src     libc.so.6                     [.] getenv
     0.65%  v4l2src0:src     libgstbase-1.0.so.0.2411.0    [.] g_mutex_lock@plt
     0.65%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_clock_get_time
     0.65%  v4l2src0:src     libgstvideo4linux2.so         [.] gst_buffer_get_size@plt
     0.65%  v4l2src0:src     libgstvideo4linux2.so         [.] 0x0000000000028408


#
# (Cannot load tips.txt file, please install perf!)
#
