# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 663  of event 'cpu-clock'
# Event count (approx.): 6696969630
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ............................................
#
     0.15%  python3          [kernel.kallsyms]             [k] tcp_poll
     0.15%  python3          [kernel.kallsyms]             [k] tcp_write_xmit
     0.15%  python3          libc.so.6                     [.] strncpy
     0.15%  python3          libc.so.6                     [.] 0x000000000009d788
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7a4
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7b4
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7c8
     0.15%  python3          libc.so.6                     [.] 0x000000000009d7cc
     0.15%  python3          libc.so.6                     [.] 0x000000000009ddc4
     0.15%  python3          libc.so.6                     [.] 0x000000000009ddcc
     0.15%  python3          libpython3.11.so.1.0          [.] PyBuffer_FillInfo@plt
     0.15%  python3          libpython3.11.so.1.0          [.] PyBytes_FromStringAndSize
     0.15%  python3          libpython3.11.so.1.0          [.] PyLong_AsSsize_t@plt
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_CallFinalizer
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_Free@plt
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_GC_UnTrack
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_GetAttr
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_GetBuffer
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_GetBuffer@plt
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_GetItem
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_IsTrue@plt
     0.15%  python3          libpython3.11.so.1.0          [.] PyObject_Size
     0.15%  python3          libpython3.11.so.1.0          [.] PyThread_get_thread_ident
     0.15%  python3          libpython3.11.so.1.0          [.] _PyArg_ParseTuple_SizeT
     0.15%  python3          libpython3.11.so.1.0          [.] _PyLong_New@plt
     0.15%  python3          libpython3.11.so.1.0          [.] _PyTrash_end@plt
     0.15%  python3          libpython3.11.so.1.0          [.] _Py_NewReference@plt
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000139848
     0.15%  python3          libpython3.11.so.1.0          [.] 0x00000000001398d8
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000013d564
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000013d610
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000016537c
     0.15%  python3          libpython3.11.so.1.0          [.] 0x0000000000177bd0
     0.15%  python3          libpython3.11.so.1.0          [.] 0x000000000017f3ac
