# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 656  of event 'cpu-clock'
# Event count (approx.): 6626262560
#
# Overhead  Command          Shared Object                     Symbol
# ........  ...............  ................................  .......................................
#
     0.15%  mppjpegenc0:src  libgstrockchipmpp.so              [.] mpp_buffer_get_size_with_caller@plt
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0              [.] _ZN3Mpp10get_packetEPPv
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0              [.] _mpp_port_dequeue
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0              [.] _mpp_port_enqueue@plt
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_frame_init
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_frame_set_fmt
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0              [.] mpp_stopwatch_record
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0              [.] 0x0000000000040d70
     0.15%  mppjpegenc0:src  librockchip_mpp.so.0              [.] 0x000000000006fc5c
     0.15%  python3          [kernel.kallsyms]                 [k] __arch_copy_from_user
     0.15%  python3          [kernel.kallsyms]                 [k] __cond_resched
     0.15%  python3          [kernel.kallsyms]                 [k] __futex_queue
     0.15%  python3          [kernel.kallsyms]                 [k] _copy_from_iter
     0.15%  python3          [kernel.kallsyms]                 [k] arch_local_irq_enable
     0.15%  python3          [kernel.kallsyms]                 [k] dev_hard_start_xmit
     0.15%  python3          [kernel.kallsyms]                 [k] get_page_from_freelist
     0.15%  python3          [kernel.kallsyms]                 [k] inet_send_prepare
     0.15%  python3          [kernel.kallsyms]                 [k] ipt_do_table
     0.15%  python3          [kernel.kallsyms]                 [k] tcp_event_data_recv
     0.15%  python3          [kernel.kallsyms]                 [k] tcp_wfree
     0.15%  python3          libc.so.6                         [.] 0x0000000000092440
     0.15%  python3          libc.so.6                         [.] 0x000000000009d7a4
     0.15%  python3          libc.so.6                         [.] 0x000000000009d7b8
     0.15%  python3          libc.so.6                         [.] 0x000000000009d7c0
     0.15%  python3          libc.so.6                         [.] 0x000000000009ddc8
     0.15%  python3          libc.so.6                         [.] 0x000000000009ddcc
     0.15%  python3          libpython3.11.so.1.0              [.] PyArg_ParseTuple
     0.15%  python3          libpython3.11.so.1.0              [.] PyBytes_FromStringAndSize
     0.15%  python3          libpython3.11.so.1.0              [.] PyCMethod_New
     0.15%  python3          libpython3.11.so.1.0              [.] PyDescr_IsData@plt
     0.15%  python3          libpython3.11.so.1.0              [.] PyObject_CheckBuffer@plt
     0.15%  python3          libpython3.11.so.1.0              [.] PyObject_Free
     0.15%  python3          libpython3.11.so.1.0              [.] PyObject_GetIter@plt
     0.15%  python3          libpython3.11.so.1.0              [.] PySlice_New
     0.15%  python3          libpython3.11.so.1.0              [.] _PyEval_SliceIndex
     0.15%  python3          libpython3.11.so.1.0              [.] _PyLong_FromByteArray
     0.15%  python3          libpython3.11.so.1.0              [.] _PyType_Lookup
     0.15%  python3          libpython3.11.so.1.0              [.] _Py_Dealloc
     0.15%  python3          libpython3.11.so.1.0              [.] _Py_NewReference@plt
     0.15%  python3          libpython3.11.so.1.0              [.] pthread_cond_signal@plt
     0.15%  python3          libpython3.11.so.1.0              [.] 0x0000000000139668
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000013d560
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000013d5ac
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000015b7e8
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000015b848
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000015b890
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000019c530
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000019c55c
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000019c560
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000019c574
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000019d0f8
     0.15%  python3          libpython3.11.so.1.0              [.] 0x00000000001a6068
     0.15%  python3          libpython3.11.so.1.0              [.] 0x00000000001a6850
     0.15%  python3          libpython3.11.so.1.0              [.] 0x00000000001a6858
     0.15%  python3          libpython3.11.so.1.0              [.] 0x00000000001a7b60
     0.15%  python3          libpython3.11.so.1.0              [.] 0x00000000002212fc
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000023ea28
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000023ec2c
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000023faf4
     0.15%  python3          libpython3.11.so.1.0              [.] 0x000000000023ff78
     0.15%  python3          libpython3.11.so.1.0              [.] 0x0000000000240668
     0.15%  python3          libpython3.11.so.1.0              [.] 0x00000000002406a4
     0.15%  python3          libpython3.11.so.1.0              [.] 0x0000000000240718
     0.15%  python3          libpython3.11.so.1.0              [.] 0x0000000000240898
     0.15%  queue0:src       [kernel.kallsyms]                 [k] ___slab_alloc
     0.15%  queue0:src       [kernel.kallsyms]                 [k] __iommu_map
     0.15%  queue0:src       [kernel.kallsyms]                 [k] __iommu_map_sg
     0.15%  queue0:src       [kernel.kallsyms]                 [k] __tlb_remove_page_size
     0.15%  queue0:src       [kernel.kallsyms]                 [k] clk_enable_unlock
     0.15%  queue0:src       [kernel.kallsyms]                 [k] dma_buf_ioctl
     0.15%  queue0:src       [kernel.kallsyms]                 [k] free_swap_cache
     0.15%  queue0:src       [kernel.kallsyms]                 [k] get_user_pages_remote
     0.15%  queue0:src       [kernel.kallsyms]                 [k] mark_page_accessed
     0.15%  queue0:src       [kernel.kallsyms]                 [k] mas_leaf_max_gap
     0.15%  queue0:src       [kernel.kallsyms]                 [k] mas_wr_modify
     0.15%  queue0:src       [kernel.kallsyms]                 [k] mas_wr_walk
     0.15%  queue0:src       [kernel.kallsyms]                 [k] memset
     0.15%  queue0:src       [kernel.kallsyms]                 [k] page_remove_rmap
     0.15%  queue0:src       [kernel.kallsyms]                 [k] perf_iterate_ctx
     0.15%  queue0:src       [kernel.kallsyms]                 [k] pm_generic_runtime_resume
