# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 226  of event 'cpu-clock'
# Event count (approx.): 2282828260
#
# Overhead  Command          Shared Object                 Symbol
# ........  ...............  ............................  ............................................
#
     0.44%  python3          libc.so.6                     [.] 0x000000000009ddc0
     0.44%  python3          libc.so.6                     [.] 0x000000000009ddc8
     0.44%  python3          libpython3.11.so.1.0          [.] PyByteArray_FromStringAndSize
     0.44%  python3          libpython3.11.so.1.0          [.] PyBytes_FromStringAndSize
     0.44%  python3          libpython3.11.so.1.0          [.] PyFloat_AsDouble
     0.44%  python3          libpython3.11.so.1.0          [.] PyObject_Str
     0.44%  python3          libpython3.11.so.1.0          [.] _PyNumber_Index
     0.44%  python3          libpython3.11.so.1.0          [.] _PyObject_GetMethod
     0.44%  python3          libpython3.11.so.1.0          [.] _Py_Dealloc
     0.44%  python3          libpython3.11.so.1.0          [.] pthread_mutex_lock@plt
     0.44%  python3          libpython3.11.so.1.0          [.] realloc@plt
     0.44%  python3          libpython3.11.so.1.0          [.] 0x000000000013b9f4
     0.44%  python3          libpython3.11.so.1.0          [.] 0x000000000015b7e0
     0.44%  python3          libpython3.11.so.1.0          [.] 0x00000000001653c4
     0.44%  python3          libpython3.11.so.1.0          [.] 0x000000000019d140
     0.44%  python3          libpython3.11.so.1.0          [.] 0x0000000000240840
     0.44%  python3          libpython3.11.so.1.0          [.] 0x0000000000240b40
     0.44%  python3          libpython3.11.so.1.0          [.] 0x0000000000257edc
     0.44%  python3          libpython3.11.so.1.0          [.] 0x0000000000286058
     0.44%  python3          libpython3.11.so.1.0          [.] 0x00000000002c9be0
     0.44%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4a4
     0.44%  python3          libpython3.11.so.1.0          [.] 0x00000000002ce4ac
     0.44%  queue0:src       [kernel.kallsyms]             [k] __arm64_sys_fcntl
     0.44%  queue0:src       [kernel.kallsyms]             [k] __zone_watermark_ok
     0.44%  queue0:src       [kernel.kallsyms]             [k] check_new_pages
     0.44%  queue0:src       [kernel.kallsyms]             [k] dma_buf_cache_attach
     0.44%  queue0:src       [kernel.kallsyms]             [k] dma_unmap_sg_attrs
     0.44%  queue0:src       [kernel.kallsyms]             [k] get_page_from_freelist
     0.44%  queue0:src       [kernel.kallsyms]             [k] hash_contains_ip.isra.0
     0.44%  queue0:src       [kernel.kallsyms]             [k] iommu_dma_map_sg
     0.44%  queue0:src       [kernel.kallsyms]             [k] kmem_cache_alloc_lru
     0.44%  queue0:src       [kernel.kallsyms]             [k] kobject_init
     0.44%  queue0:src       [kernel.kallsyms]             [k] percpu_counter_add_batch
     0.44%  queue0:src       [kernel.kallsyms]             [k] rb_commit.constprop.0
     0.44%  queue0:src       [kernel.kallsyms]             [k] rga2_init_reg
     0.44%  queue0:src       [kernel.kallsyms]             [k] rga_convert_addr
     0.44%  queue0:src       [kernel.kallsyms]             [k] rk_iommu_is_paging_enabled
     0.44%  queue0:src       [kernel.kallsyms]             [k] rk_iommu_map
     0.44%  queue0:src       [kernel.kallsyms]             [k] system_heap_do_allocate.constprop.0
     0.44%  queue0:src       libc.so.6                     [.] __libc_calloc
     0.44%  queue0:src       libc.so.6                     [.] 0x000000000009ddcc
     0.44%  queue0:src       libglib-2.0.so.0.7600.1       [.] 0x00000000000bb90c
     0.44%  queue0:src       libgstcoretracers.so          [.] gst_object_unref@plt
     0.44%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] _gst_debug_nameof_funcptr
     0.44%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] gst_debug_log
     0.44%  queue0:src       libgstreamer-1.0.so.0.2411.0  [.] 0x0000000000075e80
     0.44%  queue0:src       libgstvideo-1.0.so.0.2411.0   [.] 0x000000000003a280
     0.44%  queue0:src       librockchip_mpp.so.0          [.] mpp_buffer_create@plt
     0.44%  queue0:src       librockchip_mpp.so.0          [.] mpp_buffer_ref_inc@plt
     0.44%  v4l2src0:src     [kernel.kallsyms]             [k] arch_local_irq_restore
     0.44%  v4l2src0:src     [kernel.kallsyms]             [k] vb2_core_poll
     0.44%  v4l2src0:src     libgobject-2.0.so.0.7600.1    [.] g_type_value_table_peek
     0.44%  v4l2src0:src     libgstcoreelements.so         [.] 0x0000000000045880
     0.44%  v4l2src0:src     libgstcoretracers.so          [.] 0x0000000000005300
     0.44%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_debug_log
     0.44%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_event_type_get_name
     0.44%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] gst_object_get_parent
     0.44%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] 0x00000000000809f0
     0.44%  v4l2src0:src     libgstreamer-1.0.so.0.2411.0  [.] 0x0000000000083c80
     0.44%  v4l2src0:src     libgstvideo4linux2.so         [.] gst_buffer_get_size@plt


#
# (Cannot load tips.txt file, please install perf!)
#
